TweetId,CleanText,party
1190407200109318144,whistleblower must come forward explain account phone call ukrainian president inaccurate fraudulent whistleblower deal corrupt politician shifty adam schiff andor committee,republican
1190400372180807680,impeach someone done anything wrong,republican
1190385966621569024,oh beto dropped race president despite saying born think,republican
1190383074632257536,republicans never unified right dems mess corrupt leadership nervous nancy pelosi shifty adam schiff,republican
1190375834529468416,president federal government wants wonerful city state flourish thrive love new york,republican
1190375831840985088,great police disrespected even water dumped mayor governor backs new york finest must cherished respected loved many prople leaving special new york great leaders would work,republican
1190375830247104512,new york another reason leaving taxes energy costs way high upstate allowed die nearby states frack drill gold oil reducing taxes creating jobs thousands nyc getting dirty unsafe,republican
1190375828099674112,love new york new york never great current leadership governor andrew cuomo brother fredo mayor bill deblasio cuomo weaponized prosecutors dirty work keep jams reason want,republican
1190269494788263936,stock market big record highs p nasdaq enjoy,republican
1190269335224430592,republican candidate eddierispone successful conservative businessman stand create jobs protect second amendment get vote eddie next governor great state louisiana,republican
1190269332623970304,louisiana extreme democrat john bel edwards sided nancy pelosi chuck schumer support sanctuary cities high taxes open borders crushing louisiana economy second amendment rights,republican
1190265325511757824,foxnews billhemmer public watching seeing unfair process corrupt politicians pelosi schiff trying take republican party never happen take back house,republican
1190265313620836352,adam schiff taken power unfair dozens people call yesterdays witness knew problems facts matter impeachment guy lewis former prosecutor,republican
1190261874371244032,isis new leader know exactly,republican
1190261248367218688,democrats need tombrokaw much,republican
1190260664062881792,democrats immersed scam care less american people rushlimbaugheib,republican
1190250133071519744,wow blowout jobs number adjusted revisions general motors strike far greater expectations usa rocks,republican
1190247105841057792,chicago never stop crime wave current superintendent police happen thank kevin graham great chicago police officers privilege meet tremendous crime fighting potential allowed thing,republican
1190244509277458432,biggest disgusting scandal democrat party highjacked impeachment process tax dollars house representatives push election going marklevinshow said better,republican
1190240720633905152,years donald trump done anything wrong donald trump done single thing accused rushlimbaugheib seanhannity witch hunt like,republican
1190239355627098112,thanks lee https,republican
1189967169871863808,new tim morrison said nt think president broke law call zelensky nt think meaningful lines missing wh memo phone call republicans see statement good news piece https wwwthedailybeastcomlatestimpeachmentwitnessiwasntworriedthattrumpbrokethelawwithukrainecall,republican
1190113283078074368,crooked democrats want people know thank tim morrison honestyhttps,republican
1190086080952967168,great place https,republican
1190085372815929344,thank https,republican
1190079193582899200,decision end best concerned president always help new york great people new york always special place heart,republican
1190079192358105088,new york always unfortunately despite fact pay millions dollars city state local taxes year treated badly political leaders city state treated worse hated make,republican
1190079191355670528,pennsylvania avenue white house place come love stay hopefully another years make america great family making palm beach florida permanent residence cherish new york people,republican
1190049393547849728,dems days bullying american people disenfranchise voters sham impeachmenthttps,republican
1190060707339030528,headline november exit polls link loss two dozen moderate dem seats schiff impeachment resolution wentynine house dems hold districts trump vote move forward impeachment probe president,republican
